setor,subsetor,site,telefones,emails
CDARA,GMCA-PG – Gerência de Matrícula e Controle Acadêmico da Pós-graduação (Assuntos de Pós-graduação lato-sensu ou stricto-sensu),,(32) 2102-3368 | (32) 2102-3731,gmcapos.cdara@ufjf.br
CDARA,Secretaria,https://www.ufjf.br/cdara,(32) 2102-3733,cdara@ufjf.br
CDARA,"SGLA – Subgerência de Lançamentos Acadêmicos (Atestados, Grade Curricular, Histórico e Ementas)",,(32) 2102-3732,sgla.cdara@ufjf.br
CEAD – Centro de Educação à Distância,Centro de Educação à Distância,https://www.cead.ufjf.br,(32) 2102-3487 | (32) 2102-3488 | (32) 2102-3489,secretaria.cead@ufjf.br | academico.cead@ufjf.br
CECOM – Centro de Conservação da Memória,Centro de Conservação da Memória,https://www2.ufjf.br/cecom,,cecomufjf@gmail.com | cecom.procultura@ufjf.br | cecomufjfacervo@gmail.com
CENTRAL DE ATENDIMENTO – CAT,Central de Atendimento – UFJF – Campus sede,https://www.ufjf.br/cat,(32) 2102-3911,faleconosco@ufjf.br
CENTRO CULTURAL PRÓ-MÚSICA,Contato geral,https://www.promusicaufjf.com.br,(32) 3218-0336,secretaria.promusica@ufjf.edu.br | recepcao.promusica@ufjf.br | producao.promusica@ufjf.br
CENTRO DE BIOLOGIA DA REPRODUÇÃO,BIOTÉRIO,,(32) 2102-3255 | (32) 2102-3251,bioterio.cbr@ufjf.br
CENTRO DE BIOLOGIA DA REPRODUÇÃO,DIREÇÃO,,(32) 2102-3255 | (32) 2102-3251,direcao.cbr@ufjf.br
CENTRO DE BIOLOGIA DA REPRODUÇÃO,,https://www2.ufjf.br/cbr/,,
CENTRO DE BIOLOGIA DA REPRODUÇÃO,LABORATÓRIOS,,(32) 2102-3255 | (32) 2102-3251,laboratorio.cbr@ufjf.br
CENTRO DE CIÊNCIAS,Centro de Ciências,https://www.ufjf.br/centrodeciencias,(32) 2102-6913 | (32) 2102-6914,centrodeciencias@ufjf.br
CENTRO DE CONSERVAÇÃO DA MEMÓRIA – CECOM,Contato geral,https://www2.ufjf.br/cecom/,(32) 3212-3286,cecomufjf@gmail.com | cecom.procultura@ufjf.br
CIÊNCIA DA COMPUTAÇÃO,Coordenação do curso,https://www.ufjf.br/cursocomputacao,(32) 2102-3316,coord.computacao@ufjf.br | coord.computacaonoturno@ufjf.br
CIÊNCIA DA COMPUTAÇÃO,Departamento de Ciência da Computação (DCC),,(32) 2102-3311,
CIÊNCIAS EXATAS,Biblioteca da Exatas,,,biblioteca.ice@ufjf.br
CIÊNCIAS EXATAS,Direção,,(32) 2102-3300,direcao@ice.ufjf.br
CIÊNCIAS EXATAS,Secretaria,https://www2.ufjf.br/ice,(32) 2102-3301 | (32) 2102-3302,secretaria.ice@ice.ufjf.br
CIÊNCIAS EXATAS,Secretaria dos Cursos de Graduação Presencial,,(32) 2102-3326 | (32) 2102-3301 | (32) 2102-3316,coordenacoes.ice@ufjf.br
CIÊNCIAS SOCIAIS,Chefia de Departamento,,(32) 2102-3161,
CIÊNCIAS SOCIAIS,Coordenação de Curso,https://www.ufjf.br/graduacaocienciassociais,(32) 2102-3106,coord.cienciassociais@ufjf.br
CINE THEATRO CENTRAL,Bilheteria,,(32) 2102-6329,
CINE-THEATRO CENTRAL,Contato geral,http://www.theatrocentral.com.br,(32) 3231-4051,cinetheatrocentral@ufjf.edu.br | cinetheatrocentral@ufjf.br
CINE THEATRO CENTRAL,Escritório,https://www.theatrocentral.com.br,(32) 2102-6330,cinetheatrocentral@ufjf.br
COESF – Coordenação de Execução e Suporte Financeiro,Coordenação,,(32) 2102-3948,
COESF – Coordenação de Execução e Suporte Financeiro,Gerência de Conformidade,,(32) 2102-3948,
COESF – Coordenação de Execução e Suporte Financeiro,Gerência de Contabilidade,,(32) 2102-3948,coesf.contabilidade@ufjf.br
COESF – Coordenação de Execução e Suporte Financeiro,Gerência de Execução Financeira (Financeiro),,(32) 2102-3948,coesf.financeiro@ufjf.br
COESF – Coordenação de Execução e Suporte Financeiro,Gerência de Execução Orçamentária (Empenho),,(32) 2102-3948,coesf.empenho@ufjf.br
COESF – Coordenação de Execução e Suporte Financeiro,Gerência de Liquidação,,(32) 2102-3948,coesf.liquidacao@ufjf.br
COESF – Coordenação de Execução e Suporte Financeiro,Secretaria,https://www2.ufjf.br/coesf,(32) 2102-3948,coesf@ufjf.br
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Biblioteca,,(32) 2102-3641,biblioteca.joaoxxiii@ufjf.br
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Comunicação / Especialização,,(32) 2102-3635,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Coordenação Ensino Fundamental,,(32) 2102-3625,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Coordenação Ensino Médio,,(32) 2102-3626,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Departamento de Ciências Humanas,,(32) 2102-3631,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Departamento de Ciências Naturais,,(32) 2102-3632,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Departamento de Educação Física,,(32) 2102-3630,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Departamento de Letras e Artes,,(32) 2102-3627,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Departamento de Matemática,,(32) 2102-3636,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Direção,,(32) 2102-3621,direcao.joaoxxiii@ufjf.br
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Enfermaria,,(32) 2102-3639,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Laboratório de Ciências,,(32) 2102-3634,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Laboratório de Física,,(32) 2102-3633,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Núcleo de Apoio Escolar (NAE),,(32) 2102-3640,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Portaria,https://www.joaoxxiii.ufjf.br,(32) 2102-3622,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Sala de Artes,,(32) 2102-3629,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Sala de Línguas Estrangeiras,,(32) 2102-3628,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Sala dos Professores 1º Ano EF,,(32) 2102-3637,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Sala dos Professores 2º ao 5º Ano EF,,(32) 2102-3638,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Sala dos Professores 6º ao 9º Ano EF,,(32) 2102-3638,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Sala Manutenção Computadores,,(32) 2102-3642,
COLÉGIO DE APLICAÇÃO JOÃO XXIII,Secretaria,,(32) 2102-3623 | (32) 2102-3624,joaoxxiii@ufjf.br
COMISSÃO DE ÉTICA DA UFJF,"Comissão de Ética da UFJF Sala nº 123, prédio da Reitoria - Campus/JF",https://www2.ufjf.br/comissaodeetica/,(32) 2102-3939,comissao.etica@ufjf.br
COMISSÃO DE ÉTICA NO USO DE ANIMAIS – CEUA,Comissão de Ética no Uso de Animais (CEUA),https://www.ufjf.br/ceua,(32) 2102-3784,ceua.propp@ufjf.br
COMITÊ DE ÉTICA EM PESQUISA HUMANA,"Horário de atendimento: Segunda à Quinta: 08:00 às 12:00, 13:00 às 18:00 Sexta: 08:00 às 12:00 13:00 às 17:00",https://www2.ufjf.br/comitedeetica,(32) 2102-3788,cep.propp@ufjf.br
COMUNICAÇÃO – Faculdade de Comunicação Social (FACOM),Curso Jornalismo,,,coordenacaojornalismo@ufjf.br
COMUNICAÇÃO – Faculdade de Comunicação Social (FACOM),"Curso Rádio, Tv e Internet",,,coord.rtvi@ufjf.br
COMUNICAÇÃO – Faculdade de Comunicação Social (FACOM),Para assuntos acadêmicos dos cursos de Graduação: Secretaria das Coordenações de Graduação,,(32) 2102-3609,secretaria.graduacaofacom@ufjf.br
COMUNICAÇÃO – Faculdade de Comunicação Social (FACOM),Para assuntos administrativos: Secretaria Geral,https://www.ufjf.br/facom,(32) 2102-3601,secretaria.facom@ufjf.br
COMUNICAÇÃO – Faculdade de Comunicação Social (FACOM),Programa de Pós-Graduação em Comunicação – PPGCOM,,(32) 2102-3602 | (32) 2102-3616,secretariappg.facom@gmail.com
COMUNICAÇÃO – Faculdade de Comunicação Social (FACOM),"Seção Técnica de Apoio ao Ensino, Pesquisa e Extensão – SETA",,(32) 2102-3612,logistica.facom@ufjf.br
CONSU – Conselho Superior da Universidade Federal de Juiz de Fora (Consu/UFJF),Secretaria,https://www.ufjf.br/consu,(32) 2102-3904 | (32) 2102-3909,secretariageral.reitoria@ufjf.br
COPESE – Coordenação Geral de Processos Seletivos,Secretaria Geral,https://www.ufjf.br/copese,(32) 2102-3738 | (32) 2102-3755,copese@ufjf.br
CORAL DA UFJF,Contato geral,https://www2.ufjf.br/forumdacultura/coral/,(32) 2102-6305,coral@ufjf.br
CRITT/PROINOVA,Administrativo e Financeiro,,(32) 2102-3435,af.critt@ufjf.br
CRITT/PROINOVA,Comunicação e Marketing,,(32) 2102-3435,com.critt@ufjf.br
CRITT/PROINOVA,Empreendedorismo/Coworking,,(32) 2102-3435,emp.critt@ufjf.br
CRITT/PROINOVA,GABINETE DO PRÓ-REITOR,,(32) 2102-3435,proinova@ufjf.br
CRITT/PROINOVA,Geral,https://www2.ufjf.br/critt,(32) 2102-3435,
CRITT/PROINOVA,Gestão de Pessoas,,(32) 2102-3435,pessoas.critt@ufjf.br
CRITT/PROINOVA,Núcleo de Inovação Tecnológica,,(32) 2102-3435,att.critt@ufjf.br | pc.critt@ufjf.br
CRITT/PROINOVA,Parque Tecnológico,,(32) 2102-3435,partecjf@ufjf.br
CRITT/PROINOVA,Planejamento e Gestão,,(32) 2102-3435,planejamento.critt@ufjf.br
CRITT/PROINOVA,Recepção,,(32) 2102-3435,
CRITT/PROINOVA,Secretaria da Direção,,(32) 2102-3435,proinova@ufjf.br
CRITT/PROINOVA,Tecnologia da Informação,,(32) 2102-3435,sti.critt@ufjf.br
CRITT/PROINOVA,TREINAMENTO,,(32) 2102-3435,treina.critt@ufjf.br
CRITT/PROINOVA Condomínio de Empresas,Robotitech,https://www.robotictech.com.br/,(32) 98811-8197,
CRITT/PROINOVA Condomínio de Empresas,TC Projetos,https://www.tecnocadgroup.com/,(31) 3268-1400,
CRITT/PROINOVA Condomínio de Empresas,Zahir Marketing,https://zahirmarketing.com.br/,55329993115,
CRITT/PROINOVA EMPRESAS INCUBADAS,Accutis,https://acuttis.com.br/,,
CRITT/PROINOVA EMPRESAS INCUBADAS,Arch Hub,,(32) 98887-1187,
CRITT/PROINOVA EMPRESAS INCUBADAS,Bem melhor,https://www.bemmelhor.com.br/,(32) 3211-0536,
CRITT/PROINOVA EMPRESAS INCUBADAS,CODI ACADEMY,https://codiacademy.com,,
CRITT/PROINOVA EMPRESAS INCUBADAS,Direito Dela,https://direitodela.com.br,,contato@direitodela.com.br
CRITT/PROINOVA EMPRESAS INCUBADAS,Gest Empresarial,https://www.gestempresarial.com.br/,55328463070,
CRITT/PROINOVA EMPRESAS INCUBADAS,JF Tecnologia,https://jfma.com.br,,
CRITT/PROINOVA EMPRESAS INCUBADAS,Jurista.com,https://www.juristta.com/,,
CRITT/PROINOVA EMPRESAS INCUBADAS,Licitei,https://app.licitei.co/,(32) 3017-1537,
CRITT/PROINOVA EMPRESAS INCUBADAS,Mais controle,https://maiscontroleerp.com.br/,,
DICI,Secretaria da Diretoria de Controle Institucional,https://www2.ufjf.br/controle_institucional/,(32) 2102-3939,diretoria.controle@ufjf.br
DIREITO,Biblioteca,,(32) 2102-3505,biblioteca.direito@ufjf.br
DIREITO,Coordenação do Curso Diurno,,(32) 2102-3515,coord.direitodiurno@ufjf.br
DIREITO,Coordenação do Curso Noturno,,(32) 2102-3515,coordn.direito@ufjf.br
DIREITO,Direção,,(32) 2102-3500 | (32) 2102-3501,direcao.direito@ufjf.br
DIREITO,Núcleo de Práticas Jurídicas (Escritório Escola),,(32) 2102-6324 | (32) 2102-6325,npj@ufjf.br
DIREITO,Portal Jurídico da Biblioteca da Faculdade de Direito,https://www.portaljuridicobrasil.com.br,,
DIREITO,Secretaria da Graduação,https://www.ufjf.br/direito,(32) 2102-3501,secretaria.direito@ufjf.br
DIREITO,Secretaria da Pós-Graduação Lato Sensu em Segurança Pública e Cidadania,https://www.ufjf.br/ppgdireito,(32) 2102-3515,pos.seguranca.ufjf@gmail.com
DIREITO,Secretaria da Pós Graduação Stricto Sensu,,(32) 2102-3512,ppg.direito@ufjf.br
DIRETORIA DE AÇÕES AFIRMATIVAS – DIAAF,Intérpretes de Libras,,(32) 2102-3781,interpretesdelibrasufjf@gmail.com
DIRETORIA DE AÇÕES AFIRMATIVAS – DIAAF,Núcleo de Apoio à Inclusão,https://www.ufjf.br/nai,(32) 2102-3944,nucleo.nai@ufjf.br
DIRETORIA DE AÇÕES AFIRMATIVAS – DIAAF,Ouvidoria Especializada em Ações Afirmativas,,(32) 2102-3380,ouvidoriaespecializada.diaaf@ufjf.br
DIRETORIA DE AÇÕES AFIRMATIVAS – DIAAF,Secretaria,https://www.ufjf.br/diaaf,(32) 2102-6919,acoesafirmativas@ufjf.br
DIRETORIA DE AVALIAÇÃO INSTITUCIONAL,Secretaria,https://www.ufjf.br/diavi,(32) 2102-3915,secretaria.avaliacao@ufjf.br
DIRETORIA DE IMAGEM INSTITUCIONAL,Agendamento de Visitas,,,visitas@comunicacao.ufjf.br
DIRETORIA DE IMAGEM INSTITUCIONAL,Cerimonial,,(32) 2102-3966,cerimonial@ufjf.br | equipecerimonial@comunicacao.ufjf.br
DIRETORIA DE IMAGEM INSTITUCIONAL,Criação,,(32) 2102-3969,design@comunicacao.ufjf.br
DIRETORIA DE IMAGEM INSTITUCIONAL,Gestão de Redes Sociais,,(32) 2102-3969,redes@secom.ufjf.br
DIRETORIA DE IMAGEM INSTITUCIONAL,Imprensa,,(32) 2102-3970,imprensa.dci@ufjf.br
DIRETORIA DE IMAGEM INSTITUCIONAL,Secretaria,https://www2.ufjf.br/noticias/imprensa,(32) 2102-3968,imagem@ufjf.br
DIRETORIA DE RELAÇÕES INTERNACIONAIS – DRI,Certificação de documentos,,(32) 2102-3947,internationaloffice@ufjf.br
DIRETORIA DE RELAÇÕES INTERNACIONAIS – DRI,Ciência sem Fronteiras,,(32) 2102-3947,internationaloffice@ufjf.br
DIRETORIA DE RELAÇÕES INTERNACIONAIS – DRI,Global July Program,https://www2.ufjf.br/globaljuly,(32) 2102-3389,globaljuly@ufjf.br
DIRETORIA DE RELAÇÕES INTERNACIONAIS – DRI,Idiomas sem Fronteiras,,(32) 2102-6929,isf@ufjf.br
DIRETORIA DE RELAÇÕES INTERNACIONAIS – DRI,Incomimg e Acordos,https://www2.ufjf.br/internationaloffice,(32) 2102-3389,internationaloffice@ufjf.br
DIRETORIA DE RELAÇÕES INTERNACIONAIS – DRI,Intercâmbio,https://www2.ufjf.br/internationaloffice,(32) 2102-3947,intercambio.dri@ufjf.br
DIRETORIA DE RELAÇÕES INTERNACIONAIS – DRI,Núcleo de Apoio ao Intercâmbio (Napi),,(32) 2102-3389,napi.dri@ufjf.br
DIRETORIA DE RELAÇÕES INTERNACIONAIS – DRI,PEC-G e PECPG (O Programa de Estudantes-Convênio de Graduação e de Pós-graduação),,(32) 2102-3389 | (32) 2102-6929,pec.dri@ufjf.br
DIRETORIA DE RELAÇÕES INTERNACIONAIS – DRI,Secretaria Executiva,https://www.ufjf.br/internationaloffice,(32) 2102-3947,internationaloffice@ufjf.br
DIRETORIA DE SUSTENTABILIDADE,Coordenação de Sustentabilidade e Patrimônio,https://www2.ufjf.br/sustentabilidade/,(32) 2102-6377 / (32) 2102-6377,sustentabilidade@ufjf.br
DIRETORIA DE SUSTENTABILIDADE,Gerência de Patrimônio,https://www2.ufjf.br/proinfra/patrimonio,(32) 2102-3451/ (32) 2102-3452,gerencia.patrimonio@ufjf.br
ECONOMIA,Biblioteca da Economia,,,biblioteca.economia@ufjf.br
ECONOMIA,Coordenação,,(32) 2102-3555,coord.economia@ufjf.br
ECONOMIA,Direção,,(32) 2102-3540,
ECONOMIA,Programa de Pós-graduação em Economia/UFJF,,(32) 2102-3543 | (32) 2102-3554,
ECONOMIA,Secretaria da Graduação,https://www.ufjf.br/economia,(32) 2102-3541 | (32) 2102-3542,secretaria.eco@ufjf.br
EDUCAÇÃO,Biblioteca da Educação,,(32) 2102-3664,biblioteca.educacao@ufjf.br
EDUCAÇÃO,Departamento de Educação,,,depto.edu@ufjf.br
EDUCAÇÃO,Programa de Pós-Graduação em Educação,https://www2.ufjf.br/ppge,(32) 2102-3665,
EDUCAÇÃO,Secretaria,https://www.ufjf.br/faculdadedeeducacao,(32) 2102-3650,secretaria.faced@ufjf.br
EDUCAÇÃO FÍSICA,Coordenação de Graduação,,(32) 2102-3284,
EDUCAÇÃO FÍSICA,Coordenação de Pós-Graduação,,(32) 2102-3291,especializacao.faefid@ufjf.br
EDUCAÇÃO FÍSICA,Direção,,(32) 2102-3280,
EDUCAÇÃO FÍSICA,"NGIME – Núcleo de Pesquisa em Inclusão, Movimento e Ensino",,(32) 2102-3293 | (32) 2102-6362,
EDUCAÇÃO FÍSICA,Sala de Apoio à Infraestrutura,,(32) 2102-3286,
EDUCAÇÃO FÍSICA,Secretaria FAEFID 1,https://www.ufjf.br/faefid,(32) 2102-3280,secretariaacademica.faefid@ufjf.br
EDUCAÇÃO FÍSICA,Secretaria FAEFID 2,https://www.ufjf.br/faefid,(32) 2102-3290,
EMPRESAS TERCEIRIZADAS (prestadoras de serviços à UFJF),Planejar Terceirização e Serviços,,(32) 2102-3727,prepostoufjf@planrj.com.br
ENFERMAGEM – Faculdade de Enfermagem (Facenf/UFJF),Biblioteca da Faculdade de Enfermagemca,,(32) 2102-3821,biblioteca.enfermagem@ufjf.br
ENFERMAGEM – Faculdade de Enfermagem (Facenf/UFJF),Coordenação do Curso,,(32) 2102-3821,coord.enfermagem@ufjf.br
ENFERMAGEM – Faculdade de Enfermagem (Facenf/UFJF),Departamento de Enfermagem Aplicada,,(32) 2102-3821,eap.enfermagem@ufjf.br
ENFERMAGEM – Faculdade de Enfermagem (Facenf/UFJF),Departamento de Enfermagem Básica,,(32) 2102-3821,eba.enfermagem@ufjf.br
ENFERMAGEM – Faculdade de Enfermagem (Facenf/UFJF),Departamento Materno-Infantil e Saúde Pública,,(32) 2102-3821,emp.enfermagem@ufjf.br
ENFERMAGEM – Faculdade de Enfermagem (Facenf/UFJF),Programa de Pós Graduação em Enfermagem,https://www2.ufjf.br/pgenfermagem,(32) 2102-3821,mestrado.enfermagem@ufjf.br
ENFERMAGEM – Faculdade de Enfermagem (Facenf/UFJF),Secretaria,https://www2.ufjf.br/enfermagem,(32) 2102-3821,secretaria.enfermagem@ufjf.br
ENGENHARIA,Biblioteca de Exatas,,(32) 2102-3404,biblioteca@ice.ufjf.br
ENGENHARIA,Coordenação Engenharia Ambiental e Sanitária,https://www2.ufjf.br/engsanitariaeambiental/,(32) 2102-3429,coord.eas@ufjf.br
ENGENHARIA,Coordenação Engenharia de Produção,https://www2.ufjf.br/engenhariadeproducao/,(32) 2102-3416,coord.producao@ufjf.br
ENGENHARIA,Coordenação Mestrado e Doutorado em Engenharia Elétrica,,(32) 2102-3442,ppee@ufjf.br
ENGENHARIA,Coordenação Mestrado e Doutorado em Modelagem Computacional,,(32) 2102-3481,ppg.modelagemcomputacional@ufjf.br
ENGENHARIA,Coordenação Mestrado em Ambiente Construído,,(32) 2102-6465,mestrado.aconstruido@ufjf.br
ENGENHARIA,Coordenação Mestrado em Engenharia Civil,https://www2.ufjf.br/pec/,(32) 2102-3456,ppg.civil@ufjf.br
ENGENHARIA,DA de Engenharia,,(32) 2102-3454,
ENGENHARIA,Departamento de Circuitos Elétricos,,,depto.circuitos@ufjf.br
ENGENHARIA,Departamento de Engenharia de Produção e Mecânica,,,
ENGENHARIA,Departamento de Engenharia Sanitária e Ambiental,,,depto.esa@ufjf.br
ENGENHARIA,Departamento de Estruturas,,,depto.estruturas@ufjf.br
ENGENHARIA,Departamento de Mecânica Aplicada e Computacional,,,depto.mac@ufjf.edu.br
ENGENHARIA,Direção,,(32) 2102-3400,direcao.engenharia@ufjf.br
ENGENHARIA,Manutenção de elevadores,,(32) 2102-3794,
ENGENHARIA,Museu Dinâmico de Ciência e Tecnologia,https://www2.ufjf.br/museudinamico/,(32) 2102-6340,mdct.faceng@ufjf.br
ENGENHARIA,NASFE – Núcleo de Atendimento Social da Faculdade de Engenharia,,(32) 2102-3475,
ENGENHARIA,Sala de Apoio Itamar Franco,,(32) 2102-3598,
ENGENHARIA,Secretaria,https://www2.ufjf.br/engenharia/,(32) 2102-3402,secretaria.engenharia@ufjf.br
